name,disciplines,plus_options,plans,min_plan,district,street,link,metadata,latitude,longitude,description
Holmes Place Börseplatz,"['Aqua', 'Bootcamp', 'Boxsport', 'Fitness', 'Pilates', 'Tanzen', 'Yoga']",False,"['L', 'XL']",L,Wien,Wipplingerstraße 30,https://urbansportsclub.com//de/venues/holmes-place-brseplatz,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Holmes Place Börseplatz', 'description': 'Das Holmes Place Austria freut sich auf Dich!', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Wien, Austria', 'addressCountry': 'Austria', 'postalCode': '1010', 'streetAddress': 'Wipplingerstraße 30'}, 'telephone': '+49 1533979090', 'geo': {'@type': 'GeoCoordinates', 'latitude': '48.2135092', 'longitude': '16.3677108'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_3000x1687_elnmly0k7ic4o5urzj2k_1706628986629715.png?generation=1706628986745267&amp;alt=media'}",48.2135092,16.3677108,Das Holmes Place Austria freut sich auf Dich!
Ring Frei Gym,['Boxsport'],False,"['M', 'L', 'XL']",M,Wien,Roßauer Lände 43,https://urbansportsclub.com//de/venues/ring-frei-gym,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Ring Frei Gym', 'description': 'Willkommen zur Kampfsportkunst Dank eines zusammengestellten Teams aus Profis, haben Sie die Möglichkeit an verschiedenen Trainingsprogrammen teilzuhaben. Darunter wären zum Beispiel; Ein Boxkurs, Ein intensives Crossfit-Programm und Fitness. Wir freuen uns auf deinen Besuch.', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Wien, Austria', 'addressCountry': 'Austria', 'postalCode': '1090', 'streetAddress': 'Roßauer Lände 43'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '48.2259535', 'longitude': '16.3656385'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_6667x3750_gywjy2shjovs5kfdkb7d_170670985778081.jpg?generation=1706709857237875&amp;alt=media'}",48.2259535,16.3656385,"Willkommen zur Kampfsportkunst Dank eines zusammengestellten Teams aus Profis, haben Sie die Möglichkeit an verschiedenen Trainingsprogrammen teilzuhaben. Darunter wären zum Beispiel; Ein Boxkurs, Ein intensives Crossfit-Programm und Fitness. Wir freuen uns auf deinen Besuch."
EVO Fitness Wien Mariahilfer Strasse,['Fitness'],False,"['L', 'XL']",L,Wien,Mariahilfer Straße 52,https://urbansportsclub.com//de/venues/evo-wien-mariahilfer-strasse,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'EVO Fitness Wien Mariahilfer Strasse', 'description': 'EVO Austria freut sich auf Dich!', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Wien, Austria', 'addressCountry': 'Austria', 'postalCode': '1070', 'streetAddress': 'Mariahilfer Straße 52'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '48.1994921', 'longitude': '16.3523675'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_5779x3251_ngwutlrmte3r6nhg65al_1706103865474463.jpg?generation=1706103865584472&amp;alt=media'}",48.1994921,16.3523675,EVO Austria freut sich auf Dich!
Barre Club,"['Barre', 'Tanzen', 'Yoga']",False,"['M', 'L', 'XL']",M,Wien,Schönbrunner Straße 83,https://urbansportsclub.com//de/venues/barre-club,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Barre Club', 'description': 'Willkommen im Barre Club, der besten Wahl für Barre Training in Wien. Obwohl unser Studio für Barre-Workouts bekannt ist, haben wir sorgfältig zusätzliche Klassen ausgewählt und entwickelt, um im Alltag und bei Herausforderungen zu helfen. Ob in einer Barre, Pilates oder Yoga Klasse - Gesundheit ist ein ganzheitlicher und vielschichtiger Ansatz, den wir mit einem klugen, unterhaltsamen und tiefgreifenden Ansatz zu bändigen versuchen, um Menschen im stressigen Alltag zu unterstützen. Wir würden uns freuen, Ihnen zu helfen, die beste Version von sich selbst zu kreieren. Unser Barre Zuhause befindet sich im 5. Bezirk von Wien und ist sowohl mit öffentlichen Verkehrsmitteln als auch mit dem Auto leicht erreichbar. Das liebevoll gestaltete Studio bietet Platz für alle, die Körper und Geist verwöhnen möchten und eine wunderbare Gemeinschaft suchen. Der Barre Club strebt nach höchster Qualität im Coaching in einer guten und liebevollen Atmosphäre, in der jeder Körpertyp herzlich willkommen ist. Wir versuchen, Sie individuell in Ihren Bedürfnissen zu unterstützen und Sie in Ihre bestmögliche Form zu bringen. Wir kümmern uns um jeden Teil Ihres Körpers sowohl an als auch neben der Barre (Ballettstange) Barre Workouts konzentrieren sich auf gelenkschonende, kleine Bewegungen, die Kraft, Ausdauer und Flexibilität für Menschen aller Fitnesslevel ansprechen. Dies ermöglicht es unseren Kunden, sich selbst fokussierte Zeit zu nehmen, um Körper und Geist zu transformieren. Bis bald an der Barre!', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Wien, Austria', 'addressCountry': 'Austria', 'postalCode': '1050', 'streetAddress': 'Schönbrunner Straße 83'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '48.190057', 'longitude': '16.3534212'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_6000x3375_GRC02082_1706518619425908_admin.jpg?generation=1706518619549870&amp;alt=media'}",48.190057,16.3534212,"Willkommen im Barre Club, der besten Wahl für Barre Training in Wien. Obwohl unser Studio für Barre-Workouts bekannt ist, haben wir sorgfältig zusätzliche Klassen ausgewählt und entwickelt, um im Alltag und bei Herausforderungen zu helfen. Ob in einer Barre, Pilates oder Yoga Klasse - Gesundheit ist ein ganzheitlicher und vielschichtiger Ansatz, den wir mit einem klugen, unterhaltsamen und tiefgreifenden Ansatz zu bändigen versuchen, um Menschen im stressigen Alltag zu unterstützen. Wir würden uns freuen, Ihnen zu helfen, die beste Version von sich selbst zu kreieren. Unser Barre Zuhause befindet sich im 5. Bezirk von Wien und ist sowohl mit öffentlichen Verkehrsmitteln als auch mit dem Auto leicht erreichbar. Das liebevoll gestaltete Studio bietet Platz für alle, die Körper und Geist verwöhnen möchten und eine wunderbare Gemeinschaft suchen. Der Barre Club strebt nach höchster Qualität im Coaching in einer guten und liebevollen Atmosphäre, in der jeder Körpertyp herzlich willkommen ist. Wir versuchen, Sie individuell in Ihren Bedürfnissen zu unterstützen und Sie in Ihre bestmögliche Form zu bringen. Wir kümmern uns um jeden Teil Ihres Körpers sowohl an als auch neben der Barre (Ballettstange) Barre Workouts konzentrieren sich auf gelenkschonende, kleine Bewegungen, die Kraft, Ausdauer und Flexibilität für Menschen aller Fitnesslevel ansprechen. Dies ermöglicht es unseren Kunden, sich selbst fokussierte Zeit zu nehmen, um Körper und Geist zu transformieren. Bis bald an der Barre!"
Zentrum Yoveda,['Yoga'],False,"['M', 'L', 'XL']",M,Floridsdorf,Am Spitz 16/14,https://urbansportsclub.com//de/venues/zentrum-yoveda,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Zentrum Yoveda', 'description': 'Wir freuen uns, dass du deinen Weg zu unserer Seite gefunden hast. In unserem Studio integrieren wir viele Yogastile und passen Übungen genau für die einzelne Person an, so wie es gerade gebraucht wird. Gesundheitliche Aspekte werden berücksichtigt und ALLE sind bei uns herzlich willkommen. Yoga ist für jeden Körper anpassbar und das leben wir und vermitteln wir.', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Wien, Austria', 'addressCountry': 'Austria', 'postalCode': '1210', 'streetAddress': 'Am Spitz 16/14'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '48.258525', 'longitude': '16.397278'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_4000x2250_20240115_082014_1706518710220617_admin.jpg?generation=1706518710315156&amp;alt=media'}",48.258525,16.397278,"Wir freuen uns, dass du deinen Weg zu unserer Seite gefunden hast. In unserem Studio integrieren wir viele Yogastile und passen Übungen genau für die einzelne Person an, so wie es gerade gebraucht wird. Gesundheitliche Aspekte werden berücksichtigt und ALLE sind bei uns herzlich willkommen. Yoga ist für jeden Körper anpassbar und das leben wir und vermitteln wir."
EVO Fitness Wien Berggasse,['Fitness'],False,"['L', 'XL']",L,Wien,Berggasse 21,https://urbansportsclub.com//de/venues/evo-berggasse,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'EVO Fitness Wien Berggasse', 'description': 'EVO Austria freut sich auf Dich!', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Wien, Austria', 'addressCountry': 'Austria', 'postalCode': '1090', 'streetAddress': 'Berggasse 21'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '48.2187807', 'longitude': '16.3634721'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_640x360_wnkx02ogmevjfhkfucna_1706189547402080.png?generation=1706189547444501&amp;alt=media'}",48.2187807,16.3634721,EVO Austria freut sich auf Dich!
EVO Fitness Wien Schleifmühlgasse,['Fitness'],False,"['L', 'XL']",L,Wien,Schleifmühlgasse 7,https://urbansportsclub.com//de/venues/evo-wien-schleifmhlgasse,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'EVO Fitness Wien Schleifmühlgasse', 'description': 'EVO Austria freut sich auf Dich!', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Wien, Austria', 'addressCountry': 'Austria', 'postalCode': '1040', 'streetAddress': 'Schleifmühlgasse 7'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '48.1966914', 'longitude': '16.3657876'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_640x360_xrysshp0u45tnqqjzwju_1707383416973464.png?generation=1707383417109587&amp;alt=media'}",48.1966914,16.3657876,EVO Austria freut sich auf Dich!
Holmes Place Millennium,"['Aqua', 'Bootcamp', 'Boxsport', 'Fitness', 'Funktionelles Training', 'Indoorcycling', 'Moderne Selbstverteidigung', 'Pilates', 'Tanzen', 'Yoga']",False,"['L', 'XL']",L,Wien,Wehlistraße 66,https://urbansportsclub.com//de/venues/holmes-place-millenium,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Holmes Place Millennium', 'description': 'Das Holmes Place Austria freut sich auf Dich!', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Wien, Austria', 'addressCountry': 'Austria', 'postalCode': '1200', 'streetAddress': 'Wehlistraße 66'}, 'telephone': '+49 1207500', 'geo': {'@type': 'GeoCoordinates', 'latitude': '48.2402956', 'longitude': '16.3860231'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_960x540_lvqbtuwjvhiqhpo8wuuh_1706775368693136.png?generation=1706775368782415&amp;alt=media'}",48.2402956,16.3860231,Das Holmes Place Austria freut sich auf Dich!
EVO Fitness Wien Bel&Main,['Fitness'],False,"['L', 'XL']",L,Wien,Canettistraße 1,https://urbansportsclub.com//de/venues/evo-wien-belmain,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'EVO Fitness Wien Bel&amp;Main', 'description': 'EVO Austria freut sich auf Dich!', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Wien, Austria', 'addressCountry': 'Austria', 'postalCode': '1100', 'streetAddress': 'Canettistraße 1'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '48.1857443', 'longitude': '16.3826501'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_6192x3483_%C2%A9CHIARAMILO_8133_1705421182281632_admin.jpg?generation=1705421182422923&amp;alt=media'}",48.1857443,16.3826501,EVO Austria freut sich auf Dich!
Holmes Place Hütteldorf,"['Aqua', 'Bootcamp', 'Fitness', 'Funktionelles Training', 'Indoorcycling', 'Pilates', 'Tanzen', 'Yoga']",False,"['L', 'XL']",L,Wien,Hütteldorfer Strasse 130a,https://urbansportsclub.com//de/venues/holmes-place-htteldorf,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Holmes Place Hütteldorf', 'description': 'Das Holmes Place Austria freut sich auf Dich!', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Wien, Austria', 'addressCountry': 'Austria', 'postalCode': '1140', 'streetAddress': 'Hütteldorfer Strasse 130a'}, 'telephone': '+49 141588', 'geo': {'@type': 'GeoCoordinates', 'latitude': '48.198073145', 'longitude': '16.30076536'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_3000x1687_oi3zzw3ioarare0gysee_1706627674794051.png?generation=1706627674932325&amp;alt=media'}",48.198073145,16.30076536,Das Holmes Place Austria freut sich auf Dich!
